number,difficulty,codeLength,timestamp
2580000,215760172,196,1717247905
2580001,215970875,196,1717247906
2580002,216181784,196,1717247909
2580003,216392899,200,1717247910
2580004,216604220,200,1717247916
2580005,216604220,200,1717247929
2580006,216815747,200,1717247931
2580007,216392279,200,1717247954
2580008,215969639,196,1717247981
2580009,215547825,196,1717248005
2580010,215758320,196,1717248008
2580011,215126217,196,1717248037
2580012,215336301,196,1717248038
2580013,215546590,196,1717248040
2580014,215757084,196,1717248046
2580015,215967784,196,1717248048
2580016,215756878,196,1717248064
2580017,215967578,196,1717248067
2580018,216178483,196,1717248069
2580019,216178483,196,1717248076
2580020,216389594,200,1717248081
2580021,215966960,196,1717248107
2580022,215756055,196,1717248124
2580023,215966754,196,1717248130
2580024,216177659,196,1717248131
2580025,216177659,196,1717248142
2580026,216388769,200,1717248147
2580027,216600086,200,1717248148
2580028,216177040,196,1717248173
2580029,216177040,196,1717248184
2580030,216388150,200,1717248188
2580031,216388150,200,1717248195
2580032,216599466,200,1717248200
2580033,216810988,200,1717248201
2580034,216810988,200,1717248211
2580035,217022717,200,1717248217
2580036,217022717,200,1717248227
2580037,217022717,200,1717248235
2580038,215539165,196,1717248291
2580039,215749652,196,1717248295
2580040,215749652,196,1717248302
2580041,215328266,196,1717248329
2580042,215117985,196,1717248348
2580043,214277681,196,1717248388
2580044,214486936,196,1717248389
2580045,214696395,196,1717248394
2580046,214486731,196,1717248411
2580047,214486731,196,1717248420
2580048,214486731,196,1717248430
2580049,214696190,196,1717248433
2580050,214905854,196,1717248439
2580051,215115722,196,1717248443
2580052,215325795,196,1717248444
2580053,215536074,196,1717248445
2580054,215536074,196,1717248458
2580055,215536074,196,1717248471
2580056,215536074,196,1717248483
2580057,215536074,196,1717248492
2580058,215536074,196,1717248499
2580059,215746558,196,1717248501
2580060,215746558,196,1717248511
2580061,215957247,196,1717248520
2580062,216168142,196,1717248521
2580063,215745940,196,1717248545
2580064,215956629,196,1717248551
2580065,216167524,196,1717248556
2580066,215956423,196,1717248570
2580067,216167317,196,1717248571
2580068,216378417,200,1717248574
2580069,216589724,200,1717248578
2580070,216589724,200,1717248589
2580071,216801237,200,1717248590
2580072,216589518,200,1717248604
2580073,216378005,200,1717248622
2580074,216589311,200,1717248624
2580075,216589311,200,1717248633
2580076,216589311,200,1717248641
2580077,216589311,200,1717248654
2580078,216800823,200,1717248660
2580079,216800823,200,1717248671
2580080,217012542,200,1717248672
2580081,217224468,200,1717248673
2580082,217012335,200,1717248691
2580083,217436187,200,1717248692
2580084,217648527,200,1717248698
2580085,216373245,200,1717248748
2580086,216373245,200,1717248756
2580087,215739342,196,1717248785
2580088,215950024,196,1717248786
2580089,216160912,196,1717248788
2580090,216372006,200,1717248792
2580091,215526806,196,1717248833
2580092,215316331,196,1717248847
2580093,215526600,196,1717248852
2580094,215947550,196,1717248855
2580095,216158436,196,1717248856
2580096,216369528,200,1717248862
2580097,216580826,200,1717248864
2580098,216792330,200,1717248866
2580099,217004041,200,1717248868
2580100,217215959,200,1717248880
2580101,217215959,200,1717248892
2580102,216791711,200,1717248921
2580103,217003421,200,1717248922
2580104,217003421,200,1717248930
2580105,217215338,200,1717248936
2580106,217215338,200,1717248950
2580107,217427462,200,1717248952
2580108,217427462,200,1717248959
2580109,217427462,200,1717248968
2580110,217639793,200,1717248969
2580111,217427255,200,1717248984
2580112,217427255,200,1717248994
2580113,217639586,200,1717249000
2580114,217852124,200,1717249003
2580115,218064870,200,1717249004
2580116,217638964,200,1717249029
2580117,217851502,200,1717249032
2580118,217000522,200,1717249071
2580119,217212436,200,1717249072
2580120,217212436,200,1717249082
2580121,217212436,200,1717249094
2580122,217424557,200,1717249095
2580123,216999901,200,1717249116
2580124,216787988,200,1717249133
2580125,216787988,200,1717249141
2580126,216787988,200,1717249152
2580127,216364574,200,1717249175
2580128,216153281,196,1717249189
2580129,216364368,200,1717249190
2580130,216575661,200,1717249192
2580131,216787160,200,1717249193
2580132,216998866,200,1717249198
2580133,216786954,200,1717249214
2580134,216786954,200,1717249224
2580135,216998660,200,1717249225
2580136,217210572,200,1717249229
2580137,216574215,200,1717249261
2580138,216574215,200,1717249268
2580139,216151219,196,1717249293
2580140,215940134,196,1717249307
2580141,215518376,196,1717249331
2580142,215728843,196,1717249332
2580143,215518171,196,1717249347
2580144,215307705,196,1717249367
2580145,215517966,196,1717249372
2580146,215728432,196,1717249377
2580147,215939104,196,1717249380
2580148,216149982,196,1717249382
2580149,216361065,200,1717249388
2580150,215727195,196,1717249422
2580151,215937866,196,1717249423
2580152,215516114,196,1717249446
2580153,215726578,196,1717249447
2580154,215726578,196,1717249462
2580155,215937248,196,1717249463
2580156,216148124,196,1717249464
2580157,215937042,196,1717249483
2580158,216147918,196,1717249488
2580159,216358999,200,1717249494
2580160,216570287,200,1717249500
2580161,216570287,200,1717249512
2580162,216781781,200,1717249518
2580163,214029681,196,1717249617
2580164,214238694,196,1717249621
2580165,214447911,196,1717249625
2580166,214657332,196,1717249628
2580167,214866958,196,1717249630
2580168,214866958,196,1717249642
2580169,214657127,196,1717249660
2580170,214866753,196,1717249661
2580171,214866753,196,1717249670
2580172,214656923,196,1717249689
2580173,214866548,196,1717249692
2580174,215076378,196,1717249693
2580175,215076378,196,1717249704
2580176,215286413,196,1717249706
2580177,215496653,196,1717249709
2580178,215286208,196,1717249728
2580179,215496448,196,1717249731
2580180,215706893,196,1717249736
2580181,215706893,196,1717249743
2580182,215917544,196,1717249749
2580183,215917544,196,1717249766
2580184,216128400,196,1717249768
2580185,215495214,196,1717249796
2580186,215705658,196,1717249797
2580187,215916308,196,1717249798
2580188,216127163,196,1717249799
2580189,216127163,196,1717249806
2580190,216127163,196,1717249816
2580191,216338224,200,1717249817
2580192,216338224,200,1717249827
2580193,216338224,200,1717249836
2580194,216338224,200,1717249844
2580195,216126957,196,1717249861
2580196,215915896,196,1717249879
2580197,215915896,196,1717249887
2580198,216126751,196,1717249889
2580199,216337812,200,1717249890
2580200,215915278,196,1717249917
2580201,216126132,196,1717249922
2580202,216337192,200,1717249926
2580203,216548458,200,1717249927
2580204,216336985,200,1717249947
2580205,216336985,200,1717249958
2580206,216548251,200,1717249962
2580207,216548251,200,1717249969
2580208,216759723,200,1717249972
2580209,216336365,200,1717249999
2580210,216547630,200,1717250000
2580211,216759102,200,1717250011
2580212,215912390,196,1717250046
2580213,216123241,196,1717250048
2580214,216334298,200,1717250052
2580215,216545561,200,1717250057
2580216,216757031,200,1717250058
2580217,216757031,200,1717250068
2580218,216968707,200,1717250071
2580219,216756824,200,1717250086
2580220,216545148,200,1717250102
2580221,216756617,200,1717250108
2580222,216968293,200,1717250112
2580223,217180176,200,1717250116
2580224,217180176,200,1717250126
2580225,217392266,200,1717250127
2580226,217604563,200,1717250128
2580227,216967051,200,1717250159
2580228,216543289,200,1717250183
2580229,216754757,200,1717250186
2580230,216966431,200,1717250191
2580231,216118907,196,1717250231
2580232,216329960,200,1717250232
2580233,216329960,200,1717250241
2580234,216541219,200,1717250243
2580235,216329753,200,1717250260
2580236,215695976,196,1717250289
2580237,215906616,196,1717250290
2580238,216117462,196,1717250291
2580239,216328514,200,1717250292
2580240,216539772,200,1717250298
2580241,216751236,200,1717250303
2580242,216751236,200,1717250310
2580243,217174578,200,1717250314
2580244,216962494,200,1717250330
2580245,216962494,200,1717250339
2580246,216962494,200,1717250347
2580247,216114986,196,1717250383
2580248,216114986,196,1717250390
2580249,216114986,196,1717250397
2580250,216326035,200,1717250405
2580251,214847250,196,1717250466
2580252,215057061,196,1717250471
2580253,215267077,196,1717250477
2580254,215056856,196,1717250494
2580255,215056856,196,1717250502
2580256,215266872,196,1717250506
2580257,215056651,196,1717250523
2580258,215266667,196,1717250528
2580259,215476888,196,1717250529
2580260,215476888,196,1717250537
2580261,215476888,196,1717250545
2580262,215476888,196,1717250556
2580263,215687314,196,1717250557
2580264,215687314,196,1717250565
2580265,215476682,196,1717250579
2580266,215687108,196,1717250585
2580267,215897739,196,1717250588
2580268,216108576,196,1717250589
2580269,216319619,200,1717250592
2580270,216530868,200,1717250596
2580271,216742323,200,1717250599
2580272,216530661,200,1717250615
2580273,216530661,200,1717250622
2580274,216742116,200,1717250628
2580275,216742116,200,1717250636
2580276,216318792,200,1717250659
2580277,215685048,196,1717250690
2580278,215895677,196,1717250691
2580279,215474007,196,1717250716
2580280,215474007,196,1717250726
2580281,215684430,196,1717250731
2580282,215684430,196,1717250740
2580283,215684430,196,1717250751
2580284,215895059,196,1717250755
2580285,216105894,196,1717250757
2580286,216105894,196,1717250768
2580287,216316934,200,1717250769
2580288,216528181,200,1717250771
2580289,216316728,200,1717250787
2580290,216105482,196,1717250801
2580291,216316522,200,1717250806
2580292,216527768,200,1717250808
2580293,216316316,200,1717250823
2580294,216105070,196,1717250839
2580295,216105070,196,1717250850
2580296,216316110,200,1717250855
2580297,216316110,200,1717250867
2580298,215893618,196,1717250889
2580299,215893618,196,1717250898
2580300,216104451,196,1717250900
