number,difficulty,codeLength,timestamp,elapsed
2580001,215970875,196,1717247906,1.0
2580002,216181784,196,1717247909,3.0
2580003,216392899,200,1717247910,1.0
2580004,216604220,200,1717247916,6.0
2580005,216604220,200,1717247929,13.0
2580006,216815747,200,1717247931,2.0
2580007,216392279,200,1717247954,23.0
2580008,215969639,196,1717247981,27.0
2580009,215547825,196,1717248005,24.0
2580010,215758320,196,1717248008,3.0
2580011,215126217,196,1717248037,29.0
2580012,215336301,196,1717248038,1.0
2580013,215546590,196,1717248040,2.0
2580014,215757084,196,1717248046,6.0
2580015,215967784,196,1717248048,2.0
2580016,215756878,196,1717248064,16.0
2580017,215967578,196,1717248067,3.0
2580018,216178483,196,1717248069,2.0
2580019,216178483,196,1717248076,7.0
2580020,216389594,200,1717248081,5.0
2580021,215966960,196,1717248107,26.0
2580022,215756055,196,1717248124,17.0
2580023,215966754,196,1717248130,6.0
2580024,216177659,196,1717248131,1.0
2580025,216177659,196,1717248142,11.0
2580026,216388769,200,1717248147,5.0
2580027,216600086,200,1717248148,1.0
2580028,216177040,196,1717248173,25.0
2580029,216177040,196,1717248184,11.0
2580030,216388150,200,1717248188,4.0
2580031,216388150,200,1717248195,7.0
2580032,216599466,200,1717248200,5.0
2580033,216810988,200,1717248201,1.0
2580034,216810988,200,1717248211,10.0
2580035,217022717,200,1717248217,6.0
2580036,217022717,200,1717248227,10.0
2580037,217022717,200,1717248235,8.0
2580038,215539165,196,1717248291,56.0
2580039,215749652,196,1717248295,4.0
2580040,215749652,196,1717248302,7.0
2580041,215328266,196,1717248329,27.0
2580042,215117985,196,1717248348,19.0
2580043,214277681,196,1717248388,40.0
2580044,214486936,196,1717248389,1.0
2580045,214696395,196,1717248394,5.0
2580046,214486731,196,1717248411,17.0
2580047,214486731,196,1717248420,9.0
2580048,214486731,196,1717248430,10.0
2580049,214696190,196,1717248433,3.0
2580050,214905854,196,1717248439,6.0
2580051,215115722,196,1717248443,4.0
2580052,215325795,196,1717248444,1.0
2580053,215536074,196,1717248445,1.0
2580054,215536074,196,1717248458,13.0
2580055,215536074,196,1717248471,13.0
2580056,215536074,196,1717248483,12.0
2580057,215536074,196,1717248492,9.0
2580058,215536074,196,1717248499,7.0
2580059,215746558,196,1717248501,2.0
2580060,215746558,196,1717248511,10.0
2580061,215957247,196,1717248520,9.0
2580062,216168142,196,1717248521,1.0
2580063,215745940,196,1717248545,24.0
2580064,215956629,196,1717248551,6.0
2580065,216167524,196,1717248556,5.0
2580066,215956423,196,1717248570,14.0
2580067,216167317,196,1717248571,1.0
2580068,216378417,200,1717248574,3.0
2580069,216589724,200,1717248578,4.0
2580070,216589724,200,1717248589,11.0
2580071,216801237,200,1717248590,1.0
2580072,216589518,200,1717248604,14.0
2580073,216378005,200,1717248622,18.0
2580074,216589311,200,1717248624,2.0
2580075,216589311,200,1717248633,9.0
2580076,216589311,200,1717248641,8.0
2580077,216589311,200,1717248654,13.0
2580078,216800823,200,1717248660,6.0
2580079,216800823,200,1717248671,11.0
2580080,217012542,200,1717248672,1.0
2580081,217224468,200,1717248673,1.0
2580082,217012335,200,1717248691,18.0
2580083,217436187,200,1717248692,1.0
2580084,217648527,200,1717248698,6.0
2580085,216373245,200,1717248748,50.0
2580086,216373245,200,1717248756,8.0
2580087,215739342,196,1717248785,29.0
2580088,215950024,196,1717248786,1.0
2580089,216160912,196,1717248788,2.0
2580090,216372006,200,1717248792,4.0
2580091,215526806,196,1717248833,41.0
2580092,215316331,196,1717248847,14.0
2580093,215526600,196,1717248852,5.0
2580094,215947550,196,1717248855,3.0
2580095,216158436,196,1717248856,1.0
2580096,216369528,200,1717248862,6.0
2580097,216580826,200,1717248864,2.0
2580098,216792330,200,1717248866,2.0
2580099,217004041,200,1717248868,2.0
2580100,217215959,200,1717248880,12.0
2580101,217215959,200,1717248892,12.0
2580102,216791711,200,1717248921,29.0
2580103,217003421,200,1717248922,1.0
2580104,217003421,200,1717248930,8.0
2580105,217215338,200,1717248936,6.0
2580106,217215338,200,1717248950,14.0
2580107,217427462,200,1717248952,2.0
2580108,217427462,200,1717248959,7.0
2580109,217427462,200,1717248968,9.0
2580110,217639793,200,1717248969,1.0
2580111,217427255,200,1717248984,15.0
2580112,217427255,200,1717248994,10.0
2580113,217639586,200,1717249000,6.0
2580114,217852124,200,1717249003,3.0
2580115,218064870,200,1717249004,1.0
2580116,217638964,200,1717249029,25.0
2580117,217851502,200,1717249032,3.0
2580118,217000522,200,1717249071,39.0
2580119,217212436,200,1717249072,1.0
2580120,217212436,200,1717249082,10.0
2580121,217212436,200,1717249094,12.0
2580122,217424557,200,1717249095,1.0
2580123,216999901,200,1717249116,21.0
2580124,216787988,200,1717249133,17.0
2580125,216787988,200,1717249141,8.0
2580126,216787988,200,1717249152,11.0
2580127,216364574,200,1717249175,23.0
2580128,216153281,196,1717249189,14.0
2580129,216364368,200,1717249190,1.0
2580130,216575661,200,1717249192,2.0
2580131,216787160,200,1717249193,1.0
2580132,216998866,200,1717249198,5.0
2580133,216786954,200,1717249214,16.0
2580134,216786954,200,1717249224,10.0
2580135,216998660,200,1717249225,1.0
2580136,217210572,200,1717249229,4.0
2580137,216574215,200,1717249261,32.0
2580138,216574215,200,1717249268,7.0
2580139,216151219,196,1717249293,25.0
2580140,215940134,196,1717249307,14.0
2580141,215518376,196,1717249331,24.0
